word,count
drags,416
deception,414
whore,413
insecure,411
punish,410
bastards,410
troubled,409
moaning,407
skepticism,407
douchebag,407
darkest,405
gagged,405
insignificant,398
despair,395
rigged,393
discard,392
vicious,389
contend,388
belittle,388
illnesses,388
eviction,383
abhorrent,379
touts,378
touting,371
meaningless,368
chagrin,366
disheartened,362
tits,360
stalled,360
nervously,360
tortured,356
scold,354
ambivalent,349
poisoned,349
irritate,348
exclude,348
degraded,348
agonizing,348
stalling,346
irrational,346
contempt,344
sullen,342
criticized,341
cries,341
moan,340
injustice,340
bribe,338
postpone,337
battles,337
disruption,333
complacent,331
cornered,331
provoking,331
postponed,329
propaganda,328
exaggerate,327
enemies,324
oxymoron,324
erroneous,321
dodgy,318
offender,317
petrified,316
oppressive,316
maddening,314
slavery,314
corpse,314
suing,314
dumbass,314
destruction,311
insipid,310
violating,310
admits,310
weep,309
inflamed,309
hardship,308
manipulated,306
lunatic,305
cancels,304
myth,304
looming,303
pissing,303
cramp,301
condemned,301
misread,298
controversial,297
pretends,295
scumbag,294
intimidation,293
mourning,292
unemployment,291
conflicts,290
destroys,289
disadvantage,288
jeopardy,288
unappreciated,286
worsened,286
clash,284
havoc,281
obsolete,278
doubting,278
cynical,276
conspiracy,276
doom,276
regretful,275
lawsuits,272
indignant,272
coward,269
prisoners,268
noob,267
imposed,267
ashame,264
disoriented,261
threatens,261
disregarding,260
cheats,257
criticizing,257
prisoner,256
mindless,255
rants,255
violate,254
interrupts,254
poised,254
misrepresentation,254
lagged,252
droopy,251
bamboozle,250
defer,249
racists,248
crazier,247
disasters,246
unfulfilled,244
boycotting,243
pique,243
unmotivated,242
catastrophe,242
pained,242
damnit,241
faking,241
lagging,239
denies,238
exempt,238
swindle,228
enraged,228
rape,228
distorted,227
offline,227
fakes,226
emptiness,225
impose,225
frauds,225
imperfect,223
crushes,223
limitation,223
catastrophic,222
harmed,220
restrict,218
manipulation,216
accusation,214
madly,214
humiliation,213
snubbed,213
mistaking,210
resign,209
aghast,209
peril,208
scandalous,206
moaned,205
sceptical,204
somber,204
litigation,204
bamboozled,203
repulsed,203
lonesome,203
fright,201
coerced,201
rejects,201
disputes,199
warns,198
outrage,196
thoughtless,195
betrayed,195
bitterly,193
poverty,191
slut,190
interrogated,190
deceit,190
protests,189
wavering,189
frustrate,188
spiteful,187
obliterated,186
degrade,185
feeble,183
clouded,182
farce,182
disparaging,181
absentee,181
abhor,178
drowns,177
seduced,176
wronged,175
distressing,175
felony,174
misunderstand,174
phobic,173
apocalyptic,173
jumpy,171
looses,170
averted,169
unsecured,168
loathing,167
weeping,167
collapsing,166
powerless,165
slashed,165
frustrates,164
rebellion,164
nosey,164
unworthy,163
unsophisticated,162
destructive,161
stampede,161
toothless,160
rejecting,159
unsettled,159
exclusion,157
sorrow,157
hypocritical,155
burdened,154
worsening,153
deficit,150
suspend,149
suicidal,149
funerals,149
suspecting,148
dejected,147
boycotted,146
exploit,145
hoax,145
sabotage,143
moans,143
torturing,141
violates,140
apologised,139
cheaters,139
scandal,139
murders,138
harming,136
undeserving,135
mourn,135
distracts,135
cowardly,134
protesting,134
fatigued,134
chastise,133
overstatement,132
trickery,131
stricken,130
casualty,127
gloom,126
snub,125
admonished,125
resentful,124
passively,124
thwarted,123
frowning,123
lurk,122
misbehaving,122
sadden,121
distrust,120
unjust,120
imbecile,119
chastising,118
anguish,118
foreclosure,118
apologise,118
hindrance,117
hapless,116
aggravate,116
unfocused,116
robs,114
restricting,114
offends,114
lags,113
accuses,113
derailed,113
disillusioned,112
polluted,110
paradox,109
worsen,109
misinterpreted,108
hooligans,108
jackasses,107
burdening,106
skeptics,105
provoke,105
antagonistic,105
trembling,104
stereotyped,104
disparage,103
contentious,102
riots,102
animosity,102
hysteria,101
provoked,100
abuses,100
gullible,100
victimized,100
manipulating,99
unintelligent,99
dysfunction,99
fidgety,99
fuckers,98
overselling,98
falsified,97
collide,96
harsher,95
sappy,95
defiant,95
mischief,94
chokes,93
discarding,93
censored,93
incensed,92
loom,91
monopolize,90
fucker,88
cheater,88
infuriates,86
exploited,86
exploiting,86
melancholy,86
looms,86
dupe,85
glum,85
constrained,85
lethargy,84
collisions,83
walkout,82
solemn,82
dickhead,82
pessimistic,81
harms,81
condemn,81
undermine,80
postponing,80
monopolized,80
